Date,Pop Load Slip #,Count,Sample Loads,TM9/Ticket#,Owner,Disposition/FMA#,Working Circle,Block #,Logging Co.,Haule By,Truck License Plate #,Truck #,Truck Axle,Gross Weight,Tare Weight,Net Weight,Received # of Pieces from Load Slip,Date Barkie Load inspection Report - Completed,Total Logs Inspected,Total Logs to Peeler,Logs Rejected
2016-07-06,630,37,,U004323778,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42413,,8,63840,21640,42200,,,,,0
2016-07-06,630,38,,U004323779,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42472,,8,58740,22090,36650,,,,,0
2016-07-07,626,52,,S975986,WEST FRASER HWP,FMA8800025,EMB,5180472818,Leniam,TIM YOUNG,14291P,BWP 83,7,55260,25390,29870,49,2016-07-19,49,46,3
2016-07-07,630,39,,U004323780,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42413,,8,57260,22030,35230,,,,,0
2016-07-07,630,40,,U004323781,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42472,,8,61270,22100,39170,,,,,0
2016-07-07,630,41,,U004323782,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42413,,8,62530,21940,40590,,,,,0
2016-07-07,630,42,,U004323783,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,McFall,MCFALL RANCH,L42472,,8,55910,22010,33900,,,,,0
2016-07-08,626,53,,S975987,WEST FRASER HWP,FMA8800025,EMB,5180491638,Zell,TIM YOUNG,14291P,BWP 83,7,54280,42150,12130,21,2016-07-19,21,19,2
2016-07-08,630,43,,U004313497,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,TIM YOUNG,14291P,BWP 83,7,45590,25340,20250,34,2016-07-19,34,34,0
2016-07-08,626,54,,Q214667,WEST FRASER EFP,FMA9700032,EFP,5160481569,Lydell,TIM YOUNG,14291P,BWP 83,7,42150,25570,16580,35,2016-07-19,35,31,4
2016-07-09,626,55,,S975988,WEST FRASER HWP,FMA8800025,EMB,5180473491,Zell,TIM YOUNG,14291P,BWP 83,7,54310,25500,28810,42,2016-07-18,42,42,0
2016-07-13,630,44,,U004323784,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,,MCFALL RANCH,L42413,,8,58610,21800,36810,,,,,0
2016-07-14,630,45,SAMPLE,U004313315,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,62130,26760,35370,,,,,0
2016-07-14,630,46,,U004323785,HOWARD BUGG,PRIVATE,,W1/2-19-53-18-W5,,MCFALL RANCH,L42472,,8,52120,21660,30460,,,,,0
2016-07-15,630,47,,U004312891,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L59404,E605,7,62000,26280,35720,,,,,0
2016-07-20,626,56,,U004313498,WEYERHAEUSER DV,FMA0900046,DV1,5130472945,Lydell,TIM YOUNG,14291P,BWP 83,7,55060,25360,29700,32,2016-07-22,32,32,0
2016-07-21,626,57,SAMPLE,S975991,WEST FRASER HWP,FMA8800025,EMB,5180491638,Zell,TIM YOUNG,14291P,BWP 83,7,52420,48010,4410,8,2016-08-08,8,7,1
2016-07-21,626,58,,S975989,WEST FRASER HWP,FMA8800025,EMB,5180483009,Promise,TIM YOUNG,14291P,BWP 83,7,48010,32340,15670,33,2016-07-21,33,27,6
2016-07-21,626,59,,S975990,WEST FRASER HWP,FMA8800025,EMB,5180472818,Leniam,TIM YOUNG,14291P,BWP 83,7,32340,25520,6820,15,2016-07-21,15,14,1
2016-07-22,626,60,,U004313499,WEYERHAEUSER DV,FMA0900046,DV1,5100432092,RVL,TIM YOUNG,14291P,BWP 83,7,55140,25320,29820,31,2016-07-25,31,30,1
2016-07-22,626,61,SAMPLE,U004313500,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,54910,25320,29590,34,2016-08-05,34,33,1
2016-07-24,626,62,,U004323526,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55690,25100,30590,32,2016-07-26,32,30,2
2016-07-24,626,63,,U004323527,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55610,25460,30150,33,2016-07-25,33,33,0
2016-07-25,626,64,,U004323528,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,55480,25360,30120,30,2016-07-26,30,27,3
2016-07-25,626,65,,U004323529,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55690,25230,30460,37,2016-08-04,37,35,2
2016-07-26,626,66,,U004311101,JACK DICKSON,CTLE02F001,,5170551126,,RL HARRIS,C18542,D661,7,50460,23170,27290,35,2016-08-02,35,33,2
2016-07-26,626,67,,U004323530,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,54870,25110,29760,34,2016-07-27,34,31,3
2016-07-26,626,68,,U004311102,JACK DICKSON,CTLE02F001,,5170551126,,RL HARRIS,C18542,D664,7,50520,23090,27430,41,2016-07-28,40,38,2
2016-07-27,626,69,,U004311103,JACK DICKSON,CTLE02F001,,5170551126,,RL HARRIS,C18542,D664,7,47440,23270,24170,41,2016-07-27,41,35,6
2016-07-27,626,70,,U004323531,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55740,25640,30100,35,2016-07-27,35,35,0
2016-07-27,626,71,,U004323751,WEYERHAEUSER DV,FMA0900046,DV1,5100431638,RVL,RL HARRIS,C18542,D664,7,54570,23100,31470,44,2016-07-28,45,43,2
2016-07-27,626,72,,U004323532,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55830,25500,30330,38,2016-07-28,38,37,1
2016-07-28,626,73,,U004323752,WEYERHAEUSER DV,FMA0900046,DV1,5100431638,RVL,RL HARRIS,C18542,D664,7,52060,23140,28920,42,2016-08-02,42,40,2
2016-07-28,626,74,,U004323533,WEYERHAEUSER DV,FMA0900046,DV1,5130480918,Lydell,TIM YOUNG,14291P,BWP 83,7,55640,25380,30260,38,2016-08-02,40,33,7
2016-07-28,626,75,,U004323753,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,RL HARRIS,C18542,D664,7,54020,23080,30940,38,2016-08-03,32,30,2
2016-07-28,626,76,,U004323534,WEYERHAEUSER DV,FMA0900046,DV1,5160490233,DBC,TIM YOUNG,14291P,BWP 83,7,55570,25590,29980,38,2016-07-29,38,33,5
2016-07-29,626,77,,S975992,WEST FRASER HWP,FMA8800025,EMB,5180480868,Promise,TIM YOUNG,14291P,BWP 83,7,55880,33790,22090,38,2016-08-03,38,34,0
2016-07-29,626,78,,S975993,WEST FRASER HWP,FMA8800025,EMB,5180473491,Zell,TIM YOUNG,14291P,BWP 83,7,33790,25420,8370,12,2016-08-21,12,10,2
2016-07-30,626,79,,U004323754,WEYERHAEUSER DV,FMA0900046,DV1,5100432092,RVL,RL HARRIS,C18542,D664,7,52120,23410,28710,35,2016-08-21,35,32,3
2016-08-04,630,48,,U004322980,RL HARRIS CONTRACTING,PRIVATE,,NE8-54-13-W5,,RL HARRIS,H-86023,E664,7,41510,20180,21330,,,,,0
2016-08-04,630,49,,U004322981,RL HARRIS CONTRACTING,PRIVATE,,NE8-54-13-W5,,RL HARRIS,H-86023,E664,7,41560,20170,21390,,,,,0
2016-08-05,630,50,,U004322982,RL HARRIS CONTRACTING,PRIVATE,,NE8-54-13-W5,,RL HARRIS,H-86023,E664,7,44040,20050,23990,,,,,0
2016-08-05,630,51,,U004312892,VELVET ENERGY,PRIVATE,,NE06-51-13-W5,,ALEVOG ,L59404,E605,7,53320,26430,26890,,,,,0
2016-08-05,626,80,,U004323535,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55770,25230,30540,36,2016-08-10,36,34,2
2016-08-05,626,81,,U004323536,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,54500,25130,29370,36,2016-08-09,36,35,1
2016-08-06,626,82,SAMPLE,S975994,WEST FRASER HWP,FMA8800025,EMB,5180480868,Promise,TIM YOUNG,14291P,BWP 83,7,56150,25520,30630,52,2016-08-11,52,50,2
2016-08-06,626,83,,U004323537,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55910,25400,30510,36,2016-08-08,36,33,3
2016-08-06,630,52,,U004312893,VELVET ENERGY,PRIVATE,,NE06-51-13-W5,,ALEVOG ,L59404,E605,7,53180,26370,26810,,,,,0
2016-08-08,626,84,,U004323538,WEYERHAEUSER DV,FMA0900046,DV1,5130481755,Lydell,TIM YOUNG,14291P,BWP 83,7,55540,25470,30070,35,2016-08-09,35,35,0
2016-08-10,626,85,,S975995,WEST FRASER HWP,FMA8800025,EMB,5180490747,Promise,TIM YOUNG,14291P,BWP 83,7,55610,25770,29840,51,2016-08-10,51,47,4
